endpoint,form,token_kind,distance_bin,row_length_bin,tokens,kl_mean,kl_sd_pop,kl_max
clean_pres64_u0080,coherent_add_special,content,2-3,>=256,36,0.000333407855248898,0.0012572598153251422,0.007482557557523251
clean_pres64_u0080,coherent_add_special,content,32-63,128-255,2496,0.0023754883338186973,0.010920110076952799,0.20987534523010254
clean_pres64_u0080,coherent_add_special,content,32-63,>=256,576,0.001266422328488269,0.00585529927382014,0.10003071278333664
clean_pres64_u0080,coherent_add_special,content,4-7,128-255,312,0.0030376840777451754,0.014074189889783135,0.14375045895576477
clean_pres64_u0080,coherent_add_special,content,4-7,>=256,72,0.0013496992241637746,0.004841682370727121,0.03548048064112663
clean_pres64_u0080,coherent_add_special,content,64-127,128-255,3356,0.002182188001485176,0.011938433225728743,0.37642282247543335
clean_pres64_u0080,coherent_add_special,content,64-127,>=256,1152,0.0007673440963538879,0.0032998207794019533,0.056413665413856506
clean_pres64_u0080,coherent_add_special,content,8-15,128-255,624,0.002924627401141303,0.01294831397144322,0.18376509845256805
clean_pres64_u0080,coherent_add_special,content,8-15,>=256,144,0.0010173216411547435,0.00355143704737772,0.028914596885442734
clean_pres64_u0080,coherent_add_special,special,0,128-255,78,0.02757360590905405,0.03648097560116224,0.2087494432926178
clean_pres64_u0080,coherent_add_special,special,0,>=256,18,0.010871953269593683,0.006858445752660976,0.023586153984069824
clean_pres64_u0080,coherent_no_special,content,none,128-255,8525,0.0019670380920542405,0.008952080086496143,0.18565256893634796
clean_pres64_u0080,coherent_no_special,content,none,>=256,2048,0.0009932472961210331,0.004528953548305047,0.08501815795898438
clean_pres64_u0080,short_add_special,content,1,0-15,38,0.005389906413065067,0.01834876842990538,0.11316153407096863
clean_pres64_u0080,short_add_special,content,1,16-31,32,0.005123420182172822,0.01605853595195741,0.08665739744901657
clean_pres64_u0080,short_add_special,content,1,32-63,22,0.005636716715075222,0.015871173000712138,0.06869958341121674
clean_pres64_u0080,short_add_special,content,1,64-127,4,0.02025525987914989,0.017843290411323456,0.044973134994506836
clean_pres64_u0080,short_add_special,content,16-31,32-63,124,0.013578963864893746,0.061452049167621314,0.5754871964454651
clean_pres64_u0080,short_add_special,content,16-31,64-127,64,0.006963516862114716,0.018231236932596796,0.10332752764225006
clean_pres64_u0080,short_add_special,content,2-3,0-15,65,0.02537931757426227,0.18825765939117173,1.5310020446777344
clean_pres64_u0080,short_add_special,content,2-3,16-31,64,0.0019703229145235923,0.008852145798402307,0.07029228657484055
clean_pres64_u0080,short_add_special,content,2-3,32-63,44,0.0036127286436815416,0.013039492689194958,0.08344393968582153
clean_pres64_u0080,short_add_special,content,2-3,64-127,8,0.017870388571964213,0.044400672056642464,0.13529960811138153
clean_pres64_u0080,short_add_special,content,32-63,64-127,28,0.0034028031057289354,0.007552875919004377,0.03220568969845772
clean_pres64_u0080,short_add_special,content,4-7,0-15,31,0.0025053942244187876,0.0064328965444651704,0.030782200396060944
clean_pres64_u0080,short_add_special,content,4-7,16-31,128,0.005700172304251794,0.020706037386553126,0.1808834969997406
clean_pres64_u0080,short_add_special,content,4-7,32-63,88,0.00518808572610138,0.031041368253697157,0.29146289825439453
clean_pres64_u0080,short_add_special,content,4-7,64-127,16,0.004413521532740106,0.008573355947214086,0.03349136933684349
clean_pres64_u0080,short_add_special,content,8-15,16-31,105,0.0036855901186429816,0.011439330559980006,0.09525713324546814
clean_pres64_u0080,short_add_special,content,8-15,32-63,176,0.0047419042353518326,0.017012811283924824,0.14454707503318787
clean_pres64_u0080,short_add_special,content,8-15,64-127,32,0.0019820686946303567,0.004802976374765452,0.018149666488170624
clean_pres64_u0080,short_add_special,special,0,0-15,38,0.031084872246107186,0.0441432056219872,0.2629024386405945
clean_pres64_u0080,short_add_special,special,0,16-31,32,0.0461943403861369,0.054072401604413595,0.1881420612335205
clean_pres64_u0080,short_add_special,special,0,32-63,22,0.02072938131591813,0.01898865395324506,0.06148969382047653
clean_pres64_u0080,short_add_special,special,0,64-127,4,0.01983546421979554,0.015515532252851832,0.038170188665390015
clean_pres65_u0080,coherent_add_special,content,1,128-255,78,0.006437444072853775,0.016917629296140307,0.09606137871742249
clean_pres65_u0080,coherent_add_special,content,1,>=256,18,0.0007206712341611718,0.0023632839797249803,0.010401739738881588
clean_pres65_u0080,coherent_add_special,content,16-31,128-255,1248,0.0019991499200962505,0.011085526129336205,0.2199135571718216
clean_pres65_u0080,coherent_add_special,content,16-31,>=256,288,0.0007296829062991437,0.002307870510270336,0.02005753666162491
clean_pres65_u0080,coherent_add_special,content,2-3,128-255,156,0.0018723788451466543,0.007483047563535143,0.07092936336994171
clean_pres65_u0080,coherent_add_special,content,2-3,>=256,36,0.00031990421642310213,0.0012050095314108669,0.007177182473242283
clean_pres65_u0080,coherent_add_special,content,32-63,128-255,2496,0.0023279189412869473,0.010602510005817342,0.19968625903129578
clean_pres65_u0080,coherent_add_special,content,32-63,>=256,576,0.001239673409767667,0.005590267417306785,0.09127490967512131
clean_pres65_u0080,coherent_add_special,content,4-7,128-255,312,0.002992961699134866,0.013822334791549613,0.14230364561080933
clean_pres65_u0080,coherent_add_special,content,4-7,>=256,72,0.0012891015028980097,0.00461049711950253,0.03378519415855408
clean_pres65_u0080,coherent_add_special,content,64-127,128-255,3356,0.002137135134533145,0.01176252315873699,0.3853323757648468
clean_pres65_u0080,coherent_add_special,content,64-127,>=256,1152,0.0007576561168236681,0.0032254586422481614,0.05429372191429138
clean_pres65_u0080,coherent_add_special,content,8-15,128-255,624,0.0028162004019368723,0.012313350411208644,0.17169097065925598
clean_pres65_u0080,coherent_add_special,content,8-15,>=256,144,0.0010190064848117292,0.003603894780012381,0.02993100881576538
clean_pres65_u0080,coherent_add_special,special,0,128-255,78,0.02648433362423347,0.03514631961966348,0.20649410784244537
clean_pres65_u0080,coherent_add_special,special,0,>=256,18,0.010461717502544666,0.0066182292554664846,0.02249634824693203
clean_pres65_u0080,coherent_no_special,content,none,128-255,8525,0.001934559938826991,0.008810577486364213,0.18829821050167084
clean_pres65_u0080,coherent_no_special,content,none,>=256,2048,0.0009779699733779585,0.004433335137574823,0.08381237089633942
clean_pres65_u0080,short_add_special,content,1,0-15,38,0.005335540415719726,0.018214598962349865,0.11232233047485352
clean_pres65_u0080,short_add_special,content,1,16-31,32,0.004991111710459961,0.016054544138786726,0.08773617446422577
clean_pres65_u0080,short_add_special,content,1,32-63,22,0.005468918480165608,0.015521400405690557,0.06723764538764954
clean_pres65_u0080,short_add_special,content,1,64-127,4,0.019484563123569387,0.017459855806812582,0.043951719999313354
clean_pres65_u0080,short_add_special,content,16-31,32-63,124,0.013440252394786509,0.06190987710724965,0.5816196203231812
clean_pres65_u0080,short_add_special,content,16-31,64-127,64,0.0065892625590073806,0.017101789721863842,0.09637600928544998
clean_pres65_u0080,short_add_special,content,2-3,0-15,65,0.025211772755573326,0.1870269702412,1.5209711790084839
clean_pres65_u0080,short_add_special,content,2-3,16-31,64,0.0019443495950213219,0.008968672318154786,0.07150133699178696
clean_pres65_u0080,short_add_special,content,2-3,32-63,44,0.003565834280979371,0.01304092078244932,0.08390592038631439
clean_pres65_u0080,short_add_special,content,2-3,64-127,8,0.016871568363285405,0.04179588393243246,0.12740740180015564
clean_pres65_u0080,short_add_special,content,32-63,64-127,28,0.003347218324746239,0.0072679407361344464,0.029230404645204544
clean_pres65_u0080,short_add_special,content,4-7,0-15,31,0.002434052290390531,0.006367563486123589,0.03086574748158455
clean_pres65_u0080,short_add_special,content,4-7,16-31,128,0.005673978771460586,0.020944794098495083,0.18716710805892944
clean_pres65_u0080,short_add_special,content,4-7,32-63,88,0.0051497926613098925,0.03098849592668996,0.29095911979675293
clean_pres65_u0080,short_add_special,content,4-7,64-127,16,0.004492235195016292,0.008763655373096459,0.03392690420150757
clean_pres65_u0080,short_add_special,content,8-15,16-31,105,0.0036359291662219698,0.011298656589256136,0.09413716942071915
clean_pres65_u0080,short_add_special,content,8-15,32-63,176,0.004664758861958324,0.016794969257402013,0.14247503876686096
