row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
1086,21,12,9,0,19
1087,36,11,25,0,25
1088,24,13,11,0,19
1089,31,19,12,0,19
1090,28,17,11,0,26
1091,39,23,16,0,30
1092,17,8,9,0,16
1093,21,17,4,0,17
1094,47,20,27,0,26
1095,32,20,12,0,29
1096,31,22,9,0,25
1097,42,16,26,0,23
1098,28,16,12,0,22
1099,35,17,18,0,25
1100,26,18,8,0,23
1101,22,15,7,0,19
1102,22,15,7,0,15
1103,32,20,12,0,22
1104,14,10,4,0,13
1105,38,35,3,0,21
1106,33,23,10,0,26
1107,31,14,17,0,21
1108,41,29,12,0,24
1109,18,16,2,0,14
1110,34,20,14,0,24
1111,17,11,6,0,16
1112,23,10,13,0,18
1113,49,20,29,0,23
