family,dose_name,rho,checkpoint,words,subgroup,n,margin_mean,margin_median,margin_stdev,frac_margin_positive,binary_delta_mean,frac_binary_positive
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_physical-interactions,5,-0.5235364203341305,0.40505682677030563,2.0015064006428873,0.6,0.4,0.4
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_physical-relations,5,-0.547418015790754,0.04561193659901619,1.7941340364681466,0.8,0.2,0.2
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_quantitative-properties,5,1.2825057562440634,-0.6354189291596413,2.8541023429911276,0.4,0.0,0.2
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_social-interactions,5,-1.0445303954184055,-0.7938888445496559,1.8906132584607713,0.4,-0.2,0.2
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_social-properties,5,1.691681057959795,1.1217186748981476,3.052267065746546,0.6,0.4,0.6
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_social-relations,5,0.32289402689784763,-0.5871281623840332,6.397089002240639,0.4,0.2,0.2
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_spatial-relations,5,1.5923167971428485,0.817713188007474,3.349961640478512,0.6,0.2,0.2
EWoK,dose1p82,0.07712,chck_60M,60000000,all,55,-0.6894324344604023,-0.2760991230607033,3.1372969859499387,0.41818181818181815,-0.03636363636363636,0.12727272727272726
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_agent-properties,5,-3.1095829865895213,-2.588008671067655,3.01576863507566,0.2,0.0,0.0
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_material-dynamics,5,0.6758242029696703,0.5220975279808044,0.6634441261368322,0.8,0.2,0.2
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_material-properties,5,0.15270425900816917,-0.2760991230607033,1.7195409963517505,0.4,0.2,0.2
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_physical-dynamics,5,-0.7432797270826995,-0.4779407186433673,2.328872163488538,0.4,-0.2,0.0
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_physical-interactions,5,-4.015351157262922,-4.630472196266055,1.5163379570358575,0.0,-0.8,0.0
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_physical-relations,5,0.12556660864502192,-0.753379785339348,1.4652004684438267,0.4,-0.2,0.0
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_quantitative-properties,5,-0.6065259501338005,-0.0312841460108757,1.8693407672623015,0.4,0.0,0.2
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_social-interactions,5,-0.7474898146465421,-0.5322675406932831,0.8207692971038033,0.2,-0.2,0.0
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_social-properties,5,3.0441433995962144,2.089513063430786,4.4999922639699985,0.6,0.4,0.6
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_social-relations,5,-1.907358357310295,-0.328018493950367,4.028034320578436,0.4,0.2,0.2
EWoK,dose1p82,0.07712,chck_60M,60000000,domain_spatial-relations,5,-0.45240725625772027,0.3347910463344306,3.1009394581448317,0.8,0.0,0.0
EWoK,dose1p82,0.07712,chck_70M,70000000,all,55,-0.036570433505535634,0.23609590530395508,3.1522279944580576,0.5272727272727272,0.03636363636363636,0.21818181818181817
EWoK,dose1p82,0.07712,chck_70M,70000000,domain_agent-properties,5,2.160175892873667,2.0617275810800493,6.132420308371018,0.8,0.4,0.4
EWoK,dose1p82,0.07712,chck_70M,70000000,domain_material-dynamics,5,-1.1970417235046624,-0.7899099458009005,1.8425318148419672,0.4,-0.2,0.0
EWoK,dose1p82,0.07712,chck_70M,70000000,domain_material-properties,5,-0.2233986621722579,-0.8917462825775146,2.0937072762802598,0.4,0.0,0.4
EWoK,dose1p82,0.07712,chck_70M,70000000,domain_physical-dynamics,5,-0.9006327862851322,-1.0342933661304414,1.7025631957838845,0.4,0.0,0.0
EWoK,dose1p82,0.07712,chck_70M,70000000,domain_physical-interactions,5,-2.5495522944256663,-2.2542096553370357,2.4286616597046953,0.2,-0.2,0.0
EWoK,dose1p82,0.07712,chck_70M,70000000,domain_physical-relations,5,-1.6885841435345355,-1.354881560895592,2.5423675718350296,0.2,-0.4,0.0
EWoK,dose1p82,0.07712,chck_70M,70000000,domain_quantitative-properties,5,-0.2664095640182495,-0.11146968975663185,1.0437909514789494,0.4,-0.4,0.0
EWoK,dose1p82,0.07712,chck_70M,70000000,domain_social-interactions,5,-0.5466956287622452,0.44107795134186745,1.803240263195687,0.6,0.2,0.4
