label,baseline,checkpoint,group,n,base_accuracy_pct,label_accuracy_pct,delta_accuracy_pct,base_recency_pick_pct_among_available,label_recency_pick_pct_among_available,delta_recency_pick_pct_among_available,base_recency_not_gold_pick_pct,label_recency_not_gold_pick_pct,delta_recency_not_gold_pick_pct
binding_ep25_alpha0p75,chck82,eval,rel_ge3_postrel_ops0,1114,34.56014362657091,36.175942549371634,1.615798922800721,37.432675044883304,39.22800718132854,1.7953321364452393,27.82608695652174,29.565217391304348,1.7391304347826093
binding_ep25_alpha0p75,chck82,eval,rel_ge3_postrel_ops_gt0,1536,26.953125,25.846354166666668,-1.1067708333333321,35.30751708428246,37.12984054669704,1.8223234624145803,35.30751708428246,37.12984054669704,1.8223234624145803
binding_ep25_alpha0p75,chck82,eval,rel_updates_0,1541,37.44321868916288,26.216742375081115,-11.226476314081768,23.052959501557634,29.595015576323988,6.542056074766354,23.052959501557634,29.595015576323988,6.542056074766354
binding_ep25_alpha0p75,chck82,eval,rel_updates_1,1323,16.780045351473923,18.2161753590325,1.4361300075585781,26.447574334898277,30.046948356807512,3.5993740219092345,31.861198738170348,35.646687697160885,3.7854889589905376
binding_ep25_alpha0p75,chck82,eval,rel_updates_2,1266,23.143759873617693,22.669826224328595,-0.47393364928909776,33.47953216374269,33.771929824561404,0.29239766081871466,35.714285714285715,33.63095238095238,-2.0833333333333357
binding_ep25_alpha0p75,chck82,eval,rel_updates_3,1230,27.804878048780488,28.211382113821138,0.4065040650406502,36.70886075949367,38.81856540084388,2.1097046413502127,34.95145631067961,36.24595469255664,1.2944983818770268
binding_ep25_alpha0p75,chck82,eval,rel_updates_4,1112,32.014388489208635,32.014388489208635,0.0,36.60030627871363,37.82542113323124,1.2251148545176065,34.895833333333336,33.333333333333336,-1.5625
binding_ep25_alpha0p75,chck82,eval,rel_updates_5,308,32.79220779220779,31.493506493506494,-1.298701298701296,38.095238095238095,40.74074074074074,2.6455026455026456,22.641509433962263,39.62264150943396,16.9811320754717
binding_ep25_alpha0p75,chck82,eval,reported_numops_0,1541,37.44321868916288,26.216742375081115,-11.226476314081768,23.052959501557634,29.595015576323988,6.542056074766354,23.052959501557634,29.595015576323988,6.542056074766354
binding_ep25_alpha0p75,chck82,eval,reported_numops_1,1274,15.85557299843014,17.346938775510203,1.4913657770800626,25.570032573289904,29.153094462540718,3.583061889250814,32.22591362126246,36.21262458471761,3.9867109634551525
