overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
high,overlap,HVminusHM,gain_T_vs_N,400,-0.29974972595407356,0.06949946154254885,0.4075
high,overlap,HVminusHM,gain_U_vs_N,400,-0.038029987427677645,0.04646772398529623,0.4825
high,overlap,HMminusV,gain_T_vs_U,400,0.09815612956508023,0.07660247460219599,0.5425
high,overlap,HMminusV,gain_T_vs_N,400,0.050188323611898046,0.07675828981302804,0.5225
high,overlap,HMminusV,gain_U_vs_N,400,-0.047967805953182216,0.045681265900739926,0.475
high,overlap,HMminusR,gain_T_vs_U,400,0.18340215588500242,0.07736760585511446,0.5525
high,overlap,HMminusR,gain_T_vs_N,400,0.08322054249561915,0.0746974593328674,0.5175
high,overlap,HMminusR,gain_U_vs_N,400,-0.1001816133893832,0.04680363637872531,0.47
low,ALL,RminusC,gain_T_vs_U,400,-0.004997207302803864,0.06390087272732006,0.5125
low,ALL,RminusC,gain_T_vs_N,400,0.0839655394851676,0.05960610631594052,0.5225
low,ALL,RminusC,gain_U_vs_N,400,0.08896274678797152,0.03541678882756034,0.5275
low,ALL,VminusC,gain_T_vs_U,400,0.25945881773305396,0.06146540201097678,0.585
low,ALL,VminusC,gain_T_vs_N,400,0.3005344212167256,0.059890833075788165,0.6275
low,ALL,VminusC,gain_U_vs_N,400,0.04107560348367163,0.03395731994756598,0.49
low,ALL,HVminusC,gain_T_vs_U,400,0.012280852188753983,0.05533305207397489,0.5175
low,ALL,HVminusC,gain_T_vs_N,400,0.015895354925354082,0.05224962730463165,0.5025
low,ALL,HVminusC,gain_U_vs_N,400,0.003614502736600118,0.03310249406946509,0.4925
low,ALL,HVminusV,gain_T_vs_U,400,-0.24717796554430002,0.05398798758223596,0.415
low,ALL,HVminusV,gain_T_vs_N,400,-0.2846390662913715,0.05480532820874928,0.41
low,ALL,HVminusV,gain_U_vs_N,400,-0.03746110074707152,0.03207099006388407,0.48
low,ALL,VminusHV,gain_T_vs_U,400,0.24717796554430002,0.05398798758223596,0.585
low,ALL,VminusHV,gain_T_vs_N,400,0.2846390662913715,0.05480532820874928,0.59
low,ALL,VminusHV,gain_U_vs_N,400,0.03746110074707152,0.03207099006388407,0.52
low,ALL,HMminusC,gain_T_vs_U,400,0.20984542333991463,0.06242169808003102,0.5775
low,ALL,HMminusC,gain_T_vs_N,400,0.18226362301206486,0.05780555333250577,0.55
low,ALL,HMminusC,gain_U_vs_N,400,-0.027581800327849734,0.03635363375528112,0.5
low,ALL,HMminusHV,gain_T_vs_U,400,0.19756457115116063,0.054214092354198364,0.575
low,ALL,HMminusHV,gain_T_vs_N,400,0.1663682680867108,0.052203653174120145,0.5575
low,ALL,HMminusHV,gain_U_vs_N,400,-0.03119630306444985,0.03253605545588128,0.4775
low,ALL,HVminusHM,gain_T_vs_U,400,-0.19756457115116063,0.054214092354198364,0.425
low,ALL,HVminusHM,gain_T_vs_N,400,-0.1663682680867108,0.052203653174120145,0.4425
low,ALL,HVminusHM,gain_U_vs_N,400,0.03119630306444985,0.03253605545588128,0.5225
low,ALL,HMminusV,gain_T_vs_U,400,-0.049613394393139366,0.05192403636861481,0.49
low,ALL,HMminusV,gain_T_vs_N,400,-0.11827079820466072,0.04904031438466951,0.435
low,ALL,HMminusV,gain_U_vs_N,400,-0.06865740381152137,0.031172959458754305,0.4375
