model,arm,seed,data_arm,checkpoint,words,uid,domain,index,official_margin,target2_context_margin,interaction,correct,saved_pred_match
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-properties_117,material-properties,117,0.473388671875,-0.3670654296875,0.1063232421875,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-properties_126,material-properties,126,-0.0560302734375,0.41253662109375,0.35650634765625,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-properties_144,material-properties,144,-3.039794921875,3.652099609375,0.6123046875,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-properties_147,material-properties,147,4.3056640625,-3.35009765625,0.95556640625,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-dynamics_19,physical-dynamics,19,0.1796875,-0.275634765625,-0.095947265625,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-dynamics_22,physical-dynamics,22,0.120361328125,-1.3043212890625,-1.1839599609375,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-dynamics_44,physical-dynamics,44,-2.659912109375,1.6783447265625,-0.9815673828125,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-dynamics_71,physical-dynamics,71,-1.4541015625,-3.040771484375,-4.494873046875,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-dynamics_74,physical-dynamics,74,-2.648193359375,-1.502197265625,-4.150390625,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-dynamics_75,physical-dynamics,75,-1.502197265625,-2.648193359375,-4.150390625,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-dynamics_78,physical-dynamics,78,-3.1322021484375,-1.90478515625,-5.0369873046875,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-dynamics_92,physical-dynamics,92,-4.932373046875,0.679931640625,-4.25244140625,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-dynamics_101,physical-dynamics,101,-3.4588623046875,3.1746826171875,-0.2841796875,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-dynamics_112,physical-dynamics,112,2.467529296875,-0.25341796875,2.214111328125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-interactions_134,physical-interactions,134,-2.4462890625,0.8837890625,-1.5625,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-interactions_146,physical-interactions,146,0.83203125,-1.61572265625,-0.78369140625,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-interactions_263,physical-interactions,263,-9.26483154296875,-7.951904296875,-17.21673583984375,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-interactions_270,physical-interactions,270,1.25732421875,-0.927734375,0.32958984375,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-interactions_310,physical-interactions,310,1.25732421875,-1.6578369140625,-0.4005126953125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-interactions_340,physical-interactions,340,3.4945068359375,-2.410400390625,1.0841064453125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-interactions_347,physical-interactions,347,-5.98095703125,-8.517333984375,-14.498291015625,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-interactions_431,physical-interactions,431,0.12188720703125,-0.200164794921875,-0.078277587890625,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-interactions_462,physical-interactions,462,-1.885009765625,-0.1204833984375,-2.0054931640625,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-interactions_465,physical-interactions,465,3.14453125,-0.476318359375,2.668212890625,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-relations_87,physical-relations,87,10.173095703125,15.936279296875,26.109375,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-relations_125,physical-relations,125,0.3353271484375,-0.8074951171875,-0.47216796875,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-relations_263,physical-relations,263,-1.717529296875,-0.1416015625,-1.859130859375,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-relations_268,physical-relations,268,-0.0899658203125,0.96142578125,0.8714599609375,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-relations_383,physical-relations,383,-2.1875,1.679931640625,-0.507568359375,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-relations_527,physical-relations,527,0.2618408203125,-0.464111328125,-0.2022705078125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,physical-relations_615,physical-relations,615,4.3892822265625,-2.405517578125,1.9837646484375,True,True
