target_word,n_contexts,coherent86,dense_seed62064,dense_seed62065,d64_minus_coherent,d65_minus_coherent,d65_minus_d64,cdi_final_30m,cdi_mean_16_30m,cdi_first_month_ge_0p5
farm,20,8.772009587287902,9.057827734947205,9.064654541015624,0.28581814765930175,0.29264495372772215,0.00682680606842041,0.56,0.25533333333333336,28.0
fast,20,8.657305574417114,8.677765703201294,8.686725521087647,0.020460128784179688,0.029419946670532226,0.008959817886352538,0.69,0.3333333333333333,26.0
feed,20,8.042874953895808,8.177482998743653,8.156991826370358,0.13460804484784603,0.1141168724745512,-0.02049117237329483,0.57,0.2673333333333333,28.0
find,20,6.354436755180359,6.360216104984284,6.356206774711609,0.00577934980392456,0.00177001953125,-0.00400933027267456,0.68,0.32933333333333337,27.0
fine,20,8.277724075317384,8.316714215278626,8.32087574005127,0.038990139961242676,0.04315166473388672,0.004161524772644043,0.37,0.146,
finger,20,8.763206076622009,8.95900318622589,8.969937610626221,0.19579710960388183,0.20673153400421143,0.01093442440032959,0.85,0.532,22.0
finish,20,9.074773335456848,9.01789312362671,8.99990484714508,-0.05688021183013916,-0.07486848831176758,-0.01798827648162842,0.61,0.258,28.0
fireman,1,12.110552787780762,12.365599632263184,12.406942367553711,0.2550468444824219,0.2963895797729492,0.041342735290527344,0.55,0.23,28.0
first,20,7.374690675735474,7.53560483455658,7.540975856781006,0.16091415882110596,0.16628518104553222,0.00537102222442627,0.51,0.2006666666666667,28.0
fit,20,8.414914178848267,8.398459899425507,8.40709720849991,-0.01645427942276001,-0.007816970348358154,0.008637309074401855,0.5,0.19533333333333333,28.0
fix,20,7.557959651947021,7.710352993011474,7.69609763622284,0.15239334106445312,0.13813798427581786,-0.014255356788635255,0.7,0.354,25.0
flag,20,7.897575750946999,8.165613213181496,8.181323730945588,0.2680374622344971,0.2837479799985886,0.01571051776409149,0.55,0.27599999999999997,28.0
flower,20,8.800629878044129,9.021581363677978,9.021951913833618,0.2209514856338501,0.22132203578948975,0.00037055015563964845,0.86,0.594,22.0
food,20,7.363789582252503,7.364676606655121,7.353801143169403,0.0008870244026184082,-0.009988439083099366,-0.010875463485717773,0.76,0.4533333333333333,23.0
foot,20,9.462482929229736,9.843936705589295,9.834961700439454,0.3814537763595581,0.3724787712097168,-0.008975005149841309,0.84,0.584,23.0
fork,17,10.842579070259543,11.07842480435091,11.05567608160131,0.23584573409136603,0.21309701134176814,-0.022748722749597886,0.78,0.5253333333333333,23.0
friend,20,6.28435469865799,6.547558391094208,6.5733783602714535,0.2632036924362183,0.2890236616134644,0.025819969177246094,0.66,0.30066666666666664,28.0
frog,4,10.502859354019165,10.467521667480469,10.49654746055603,-0.03533768653869629,-0.006311893463134766,0.029025793075561523,0.81,0.5173333333333333,23.0
full,20,8.67708923816681,8.665636682510376,8.665832448005677,-0.011452555656433105,-0.011256790161132813,0.00019576549530029297,0.6,0.26066666666666666,28.0
game,20,5.673203417658806,5.640754994750023,5.657704320549965,-0.032448422908782956,-0.015499097108840943,0.016949325799942017,0.66,0.30066666666666664,28.0
garage,20,9.75924506187439,9.999396133422852,10.012662410736084,0.2401510715484619,0.2534173488616943,0.013266277313232423,0.53,0.26,28.0
garbage,20,9.717885828018188,9.897437858581544,9.907359075546264,0.1795520305633545,0.18947324752807618,0.00992121696472168,0.67,0.35866666666666663,26.0
garden,20,8.69345600605011,8.997443270683288,9.01907330751419,0.3039872646331787,0.3256173014640808,0.0216300368309021,0.48,0.20933333333333334,28.0
gentle,20,11.511064434051514,11.557631015777588,11.554421210289002,0.04656658172607422,0.04335677623748779,-0.0032098054885864257,0.54,0.2773333333333333,28.0
get,20,4.765466296672821,4.902423596382141,4.895545840263367,0.13695729970932008,0.13007954359054566,-0.006877756118774414,0.73,0.4033333333333333,25.0
giraffe,3,10.03319517771403,10.0529998143514,10.087503433227539,0.019804636637369793,0.05430825551350912,0.03450361887613932,0.73,0.41733333333333333,24.0
girl,20,6.111174911260605,6.287874644994735,6.31063928604126,0.17669973373413086,0.1994643747806549,0.022764641046524047,0.69,0.4,25.0
give,20,7.589206576347351,7.830032277107239,7.801428246498108,0.24082570075988768,0.21222167015075682,-0.02860403060913086,0.7,0.336,26.0
glass,20,8.11552220582962,8.271316480636596,8.266946670413017,0.15579427480697633,0.15142446458339692,-0.004369810223579407,0.62,0.31466666666666665,27.0
glasses,20,9.02770325243473,9.266228044033051,9.260688915848732,0.23852479159832002,0.23298566341400145,-0.005539128184318542,0.68,0.426,24.0
gloves,13,9.196868493006779,9.33209727360652,9.32582477422861,0.13522878059974083,0.12895628122182992,-0.006272499377910907,0.56,0.28,28.0
glue,15,10.170470476150513,10.198933378855388,10.182382313410441,0.028462902704874674,0.011911837259928386,-0.01655106544494629,0.44,0.16666666666666666,
go,20,5.4883545458316805,5.681661194562912,5.685256296396256,0.19330664873123168,0.1969017505645752,0.003595101833343506,0.89,0.6506666666666666,20.0
good,20,6.474616193771363,6.661309981346131,6.668128824234008,0.18669378757476807,0.1935126304626465,0.006818842887878418,0.73,0.41600000000000004,25.0
goose,8,10.77530699968338,11.229824900627136,11.246402025222778,0.4545179009437561,0.4710950255393982,0.01657712459564209,0.44,0.254,28.0
grandma,8,10.518522143363953,10.589017629623413,10.599146544933319,0.07049548625946045,0.08062440156936646,0.010128915309906006,0.84,0.7286666666666667,18.0
