checkpoint,seed,probe_family,span_len,contrast,n,delta_copy_gain_a_minus_b,copy_gain_a,copy_gain_b,delta_repeated_nll_a_minus_b,delta_unrepeated_nll_a_minus_b
chck_100M,43022,actual_packet_source_repeat,8,RminusV,900,0.26329051962688244,5.173095456531575,4.909804936904693,-0.16720524166761605,0.0960852779592658
chck_100M,43022,actual_packet_source_repeat,8,CminusV,900,-0.021578707202772662,4.88822622970192,4.909804936904693,0.0767692924266723,0.05519058522389919
chck_100M,43022,actual_packet_source_repeat,8,VminusC,900,0.021578707202772662,4.909804936904693,4.88822622970192,-0.0767692924266723,-0.05519058522389919
chck_100M,43022,actual_packet_source_repeat,8,VminusR,900,-0.26329051962688244,4.909804936904693,5.173095456531575,0.16720524166761605,-0.0960852779592658
chck_100M,43022,actual_packet_source_repeat,ALL,RminusC,2700,0.5421163912576574,6.140278355954253,5.598161964696596,-0.3243400386964532,0.21777635256120398
chck_100M,43022,actual_packet_source_repeat,ALL,RminusV,2700,0.42388404843373806,6.140278355954253,5.716394307520515,-0.2694986008395925,0.1543854475941453
chck_100M,43022,actual_packet_source_repeat,ALL,CminusV,2700,-0.11823234282391937,5.598161964696596,5.716394307520515,0.05484143785686074,-0.06339090496705868
chck_100M,43022,actual_packet_source_repeat,ALL,VminusC,2700,0.11823234282391937,5.716394307520515,5.598161964696596,-0.05484143785686074,0.06339090496705868
chck_100M,43022,actual_packet_source_repeat,ALL,VminusR,2700,-0.42388404843373806,5.716394307520515,6.140278355954253,0.2694986008395925,-0.1543854475941453
chck_100M,43022,random_token_span,1,RminusC,700,0.008744566185133862,0.5446692499944142,0.5359246838092804,0.13479574978351572,0.14354031596865013
chck_100M,43022,random_token_span,1,RminusV,700,0.0045867640631539475,0.5446692499944142,0.5400824859312603,0.21466329029628284,0.21925005435943667
chck_100M,43022,random_token_span,1,CminusV,700,-0.004157802121979914,0.5359246838092804,0.5400824859312603,0.07986754051276712,0.07570973839078654
chck_100M,43022,random_token_span,1,VminusC,700,0.004157802121979914,0.5400824859312603,0.5359246838092804,-0.07986754051276712,-0.07570973839078654
chck_100M,43022,random_token_span,1,VminusR,700,-0.0045867640631539475,0.5400824859312603,0.5446692499944142,-0.21466329029628284,-0.21925005435943667
chck_100M,43022,random_token_span,4,RminusC,700,-0.5980070231176384,6.957509839742311,7.55551686285995,0.6930511257864005,0.09504410266876206
chck_100M,43022,random_token_span,4,RminusV,700,-0.6353420650799366,6.957509839742311,7.592851904822248,1.0210589904284904,0.3857169253485555
chck_100M,43022,random_token_span,4,CminusV,700,-0.0373350419622982,7.55551686285995,7.592851904822248,0.32800786464208986,0.29067282267979344
chck_100M,43022,random_token_span,4,VminusC,700,0.0373350419622982,7.592851904822248,7.55551686285995,-0.32800786464208986,-0.29067282267979344
chck_100M,43022,random_token_span,4,VminusR,700,0.6353420650799366,7.592851904822248,6.957509839742311,-1.0210589904284904,-0.3857169253485555
chck_100M,43022,random_token_span,8,RminusC,700,0.2489065613777246,9.68979829076345,9.440891729385726,-0.02412327773536438,0.22478328364236155
