arm,checkpoint,seed,role,probe_family,span_len,n,mean_copy_gain,sd_copy_gain,se_copy_gain,mean_repeated_nll,mean_unrepeated_nll
D_R_43122,chck_90M,43122,R,actual_packet_source_repeat,4,900,6.507111113553183,4.516940581519646,0.15056468605065484,0.05068659322409884,6.557797706777282
D_R_43122,chck_90M,43122,R,actual_packet_source_repeat,8,900,5.310491506339111,3.9357940999512118,0.1311931366650404,0.03008887787483723,5.340580384213948
D_R_43122,chck_90M,43122,R,actual_packet_source_repeat,ALL,2700,6.280744163174612,4.815920167749107,0.09268242684152316,0.04657512359183413,6.327319286766446
D_R_43122,chck_90M,43122,R,random_token_span,1,700,0.4510957820926394,0.898989657985419,0.03397861523212043,11.87110715006079,12.322202932153429
D_R_43122,chck_90M,43122,R,random_token_span,4,700,7.477939336529068,3.8736223729060884,0.1464091638812202,4.869836101643409,12.347775438172476
D_R_43122,chck_90M,43122,R,random_token_span,8,700,9.565764197582778,3.442369467521098,0.1301093361694666,2.6440426544173223,12.209806852000101
D_R_43122,chck_90M,43122,R,random_token_span,ALL,2100,5.831599772068162,4.941905211164198,0.10784121289265079,6.4616619687071735,12.293261740775336
D_V_43022,chck_100M,43022,V,ALL,1,1600,3.8426313534918517,5.027438788916033,0.12568596972290083,5.461660582551595,9.304291936043446
D_V_43022,chck_100M,43022,V,ALL,4,1600,6.600177559394788,4.288035500629678,0.10720088751574194,2.1688696314459683,8.769047190840757
D_V_43022,chck_100M,43022,V,ALL,8,1600,6.860331909823945,4.3106553114079444,0.10776638278519861,1.314954941191313,8.175286851015258
D_V_43022,chck_100M,43022,V,ALL,ALL,4800,5.767713607570195,4.755238904450616,0.0686359615386386,2.9818283850629586,8.749541992633153
D_V_43022,chck_100M,43022,V,actual_packet_source_repeat,1,900,6.411280472705645,5.384817480697954,0.17949391602326514,0.50803487846893,6.919315351174575
D_V_43022,chck_100M,43022,V,actual_packet_source_repeat,4,900,5.828097512951208,4.3816017465506105,0.146053391551687,0.21333577953610477,6.041433292487313
D_V_43022,chck_100M,43022,V,actual_packet_source_repeat,8,900,4.909804936904693,3.8568414265454836,0.12856138088484945,0.18889003941904875,5.098694976323742
D_V_43022,chck_100M,43022,V,actual_packet_source_repeat,ALL,2700,5.716394307520515,4.626584404532233,0.08903865837950696,0.3034202324746945,6.01981453999521
D_V_43022,chck_100M,43022,V,random_token_span,1,700,0.5400824859312603,1.0492508129795322,0.039657953058231214,11.830607916372163,12.370690402303422
D_V_43022,chck_100M,43022,V,random_token_span,4,700,7.592851904822248,3.9487300962398515,0.14924796898809706,4.683127441044364,12.275979345866611
D_V_43022,chck_100M,43022,V,random_token_span,8,700,9.368152303577268,3.488057465422151,0.13183618017441842,2.7627526720413673,12.130904975618636
D_V_43022,chck_100M,43022,V,random_token_span,ALL,2100,5.833695564776925,4.914919342141655,0.10725233295222236,6.425496009819298,12.259191574596223
D_V_43022,chck_80M,43022,V,ALL,1,1600,3.8141791485217618,4.96657754033776,0.12416443850844401,5.474695809433888,9.288874957955649
D_V_43022,chck_80M,43022,V,ALL,4,1600,6.5260486026943,4.223581088102769,0.10558952720256923,2.2590719485066804,8.785120551200981
D_V_43022,chck_80M,43022,V,ALL,8,1600,6.861120857633243,4.280165368921848,0.1070041342230462,1.3564098211239457,8.21753067875719
D_V_43022,chck_80M,43022,V,ALL,ALL,4800,5.733782869616435,4.704919398330519,0.06790966202854043,3.0300591930215046,8.76384206263794
D_V_43022,chck_80M,43022,V,actual_packet_source_repeat,1,900,6.386079521173443,5.285329543489574,0.17617765144965247,0.5169869954498265,6.903066516623269
D_V_43022,chck_80M,43022,V,actual_packet_source_repeat,4,900,5.871130573097002,4.369312182527747,0.14564373941759154,0.22921308805635715,6.100343661153359
D_V_43022,chck_80M,43022,V,actual_packet_source_repeat,8,900,4.967137019881876,3.8337746007530105,0.12779248669176702,0.19928507267624002,5.166422092558116
D_V_43022,chck_80M,43022,V,actual_packet_source_repeat,ALL,2700,5.7414490380507734,4.57366920108395,0.0880203048143373,0.31516171872747456,6.056610756778248
D_V_43022,chck_80M,43022,V,random_token_span,1,700,0.5074500979696002,1.0131042210858834,0.03829174030261495,11.848892855984824,12.356342953954425
D_V_43022,chck_80M,43022,V,random_token_span,4,700,7.368086069319397,3.868863740412941,0.14622930447896848,4.8688904833713815,12.236976552690779
D_V_43022,chck_80M,43022,V,random_token_span,8,700,9.296242934742144,3.5262949080290955,0.13328141965883386,2.84414164055671,12.140384575298855
D_V_43022,chck_80M,43022,V,random_token_span,ALL,2100,5.723926367343714,4.868455403079068,0.10623840667679321,6.520641659970972,12.244568027314685
D_V_43022,chck_90M,43022,V,ALL,1,1600,3.842906992305034,5.034498415840935,0.1258624603960234,5.459007294133334,9.301914286438368
D_V_43022,chck_90M,43022,V,ALL,4,1600,6.597845602685247,4.290372883608356,0.1072593220902089,2.1743212784752357,8.772166881160484
D_V_43022,chck_90M,43022,V,ALL,8,1600,6.860070263137443,4.3085974197241095,0.10771493549310274,1.319845901563633,8.179916164701076
D_V_43022,chck_90M,43022,V,ALL,ALL,4800,5.766940952709241,4.757615873951213,0.06867027013816424,2.9843914913907343,8.751332444099976
D_V_43022,chck_90M,43022,V,actual_packet_source_repeat,1,900,6.417685553133423,5.392297051146184,0.17974323503820613,0.509783909373865,6.927469462507288
D_V_43022,chck_90M,43022,V,actual_packet_source_repeat,4,900,5.8345048380127995,4.389050234013078,0.1463016744671026,0.21495640787111672,6.049461245883916
D_V_43022,chck_90M,43022,V,actual_packet_source_repeat,8,900,4.919769380165029,3.8610293618281633,0.12870097872760544,0.18808564174421108,5.10785502190924
