family,seed,checkpoint,contrast,source,n_sentences,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
compact_experience,43022,chck_100M,ALN-minus-OFF,switchboard,51,-0.33650698832364057,0.10883187544623427,0.44533886376987486,0.11507279401103856
compact_experience,43022,chck_100M,SHUF-minus-OFF,bnc_spoken,120,-0.09906308482168243,-0.10393984602220978,-0.00487676120052735,0.06926855559582466
compact_experience,43022,chck_100M,SHUF-minus-OFF,childes,108,-0.005792956089643903,-0.2643232309195877,-0.2585302748299438,0.12404018616754714
compact_experience,43022,chck_100M,SHUF-minus-OFF,gutenberg,120,0.0024401854704289385,-0.014968833148789903,-0.01740901861921884,0.06211367120980714
compact_experience,43022,chck_100M,SHUF-minus-OFF,open_subtitles,120,-0.013157989926791439,-0.01395882818615064,-0.0008008382593592008,0.07864801195822337
compact_experience,43022,chck_100M,SHUF-minus-OFF,simple_wiki,115,-0.05701944737330727,-0.012683306387929328,0.04433614098537794,0.06797918364236377
compact_experience,43022,chck_100M,SHUF-minus-OFF,switchboard,51,-0.057067660067011326,0.14143752984191274,0.19850518990892405,0.12437221186596935
compact_experience,43022,chck_100M,ALN-minus-SHUF,bnc_spoken,120,-0.21959820682144102,0.14822635393841968,0.3678245607598607,0.09396197890480742
compact_experience,43022,chck_100M,ALN-minus-SHUF,childes,108,-0.06988906688650752,0.2446266280415633,0.3145156949280708,0.11432174995518435
compact_experience,43022,chck_100M,ALN-minus-SHUF,gutenberg,120,-0.32332339487135564,0.2628692634326095,0.5861926583039652,0.12249233550983205
compact_experience,43022,chck_100M,ALN-minus-SHUF,open_subtitles,120,0.0694501051225719,0.31682231036878267,0.24737220524621079,0.07758830612342708
compact_experience,43022,chck_100M,ALN-minus-SHUF,simple_wiki,115,-0.27929661473178347,0.10728495512005833,0.3865815698518418,0.0926044063728256
compact_experience,43022,chck_100M,ALN-minus-SHUF,switchboard,51,-0.27943932825662926,-0.03260565439567847,0.2468336738609508,0.09377334978125906
compact_experience,43022,chck_100M,DUP-minus-OFF,bnc_spoken,120,-0.04770698250504211,0.3413078546698671,0.3890148371749092,0.1206894969690016
