pair_id,source,original_words,rewrite_words,pair_words,len_ratio,content_jaccard_common_def,content_overlap_min_common_def,stored_content_overlap,stored_content_jaccard,longest_common_contiguous_words_common_def
rw2s0_013251,gutenberg,22,23,45,1.0454545454545454,0.6470588235294118,0.8461538461538461,0.75,,10
rw2s0_027408,bnc_spoken,20,22,42,1.1,0.8,0.8888888888888888,0.8888888888888888,,7
rw2s1_008890,simple_wiki,22,24,46,1.0909090909090908,0.631578947368421,0.8571428571428571,0.8,,12
rw2s1_029095,open_subtitles,25,25,50,1.0,0.42857142857142855,0.6,0.6,,4
rw2s0_018068,open_subtitles,20,21,41,1.05,0.8571428571428571,0.9230769230769231,0.9230769230769231,,17
rw2s1_029387,simple_wiki,23,26,49,1.1304347826086956,0.7333333333333333,0.8461538461538461,0.7857142857142857,,10
rw2s1_032216,bnc_spoken,28,29,57,1.0357142857142858,0.5555555555555556,0.7692307692307693,0.7142857142857143,,7
rw2s1_013417,gutenberg,22,21,43,0.9545454545454546,0.6428571428571429,0.8181818181818182,0.8181818181818182,,11
rw2s1_001145,simple_wiki,19,21,40,1.105263157894737,0.5714285714285714,0.8,0.8,,5
rw2s1_017153,bnc_spoken,40,42,82,1.05,0.75,0.8571428571428571,0.8695652173913043,,14
rw2s0_007619,gutenberg,31,32,63,1.032258064516129,0.7647058823529411,0.9285714285714286,0.9285714285714286,,15
rw2s1_003537,gutenberg,25,21,46,0.84,0.10526315789473684,0.2,0.2,,4
rw2s0_018903,gutenberg,23,24,47,1.0434782608695652,0.21052631578947367,0.36363636363636365,0.36363636363636365,,4
rw2s0_017499,bnc_spoken,41,29,70,0.7073170731707317,0.631578947368421,0.8,0.8125,,10
rw2s1_019718,gutenberg,25,25,50,1.0,0.8,0.9230769230769231,0.9230769230769231,,9
rw2s0_026716,simple_wiki,20,22,42,1.1,0.7333333333333333,0.9166666666666666,0.9166666666666666,,5
rw2s1_003646,open_subtitles,21,22,43,1.0476190476190477,0.8333333333333334,0.9090909090909091,0.9090909090909091,,18
rw2s0_016980,gutenberg,31,29,60,0.9354838709677419,0.3333333333333333,0.5384615384615384,0.5714285714285714,,8
rw2s0_021999,simple_wiki,22,21,43,0.9545454545454546,0.8888888888888888,1.0,0.8888888888888888,,19
rw2s1_008070,gutenberg,28,24,52,0.8571428571428571,0.5333333333333333,0.7272727272727273,0.7692307692307693,,12
rw2s1_029994,childes,19,20,39,1.0526315789473684,0.8,0.8888888888888888,0.8888888888888888,,9
rw2s0_026128,gutenberg,32,28,60,0.875,0.5294117647058824,0.6923076923076923,0.6923076923076923,,9
rw2s0_026226,bnc_spoken,18,20,38,1.1111111111111112,0.5454545454545454,0.75,0.75,,7
